,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2268,0,0,0,0,29.4,32.7,26.4,5.7,22,0
2269,0,0,0,0,29.7,33.4,26.4,5.8,25.6,0
2270,0,0,0,0,29.4,33.3,26.1,6.3,27,0
2271,0,0,0,0,29.3,33,25.4,8.7,33.1,0
2272,0,0,0,0,29.6,33.5,27.2,6.8,24.1,0
2273,0,0,0,0,29.7,33.9,27.7,8.7,27,0
2274,9.8,9,9,9,28.7,31.7,25.4,8.4,38.2,1
2275,0,0,0,0,28.2,31.5,26.2,5.8,25.6,0
2276,0,0,0,0,28.9,34,26.7,7.7,23.8,0
2277,0,0,0,0,28.4,33.1,25.6,6.1,28.4,0
2278,17,9.4,12,15,26.5,30.8,22.2,8.8,55.8,1
2279,0,0,0,0,28.3,32.6,24.6,10,32.8,0
2280,30.8,29.8,30.8,30.8,27.3,33.9,23.5,6,27.7,1
2281,0.2,0.2,0.2,0.2,26.9,31.6,25.2,6.2,23,1
2282,13.8,13.6,13.6,13.6,26.9,33.6,24.5,5.4,38.9,1
2283,18.8,13.2,17.2,18.8,26.5,32.8,23.8,7.3,25.6,1
2284,6.4,6,6,6,27.4,34.1,24.7,6.6,45.4,1
2285,0,0,0,0,27.4,32.4,25,6.3,26.3,0
2286,0,0,0,0,28.4,32.6,25.3,6.4,23.8,0
2287,0,0,0,0,28.5,32.5,26.5,7.2,26.6,0
2288,33.8,26.4,33,33.8,27.3,32.6,23.2,6.8,48.6,1
2289,5.8,4.8,5,5,26.8,31.6,24.7,4.6,21.6,1
2290,0.4,0.2,0.2,0.2,27.8,31.7,24.5,6,21.6,1
2291,0.4,0.4,0.4,0.4,27.7,33.9,25.7,6.3,27,1
2292,27.4,20.6,25.8,27.4,26.5,33.1,24.3,6,47.2,1
2293,19.6,14.6,16.2,19.4,27,32.2,24.9,6.8,39.6,1
2294,0.2,0.2,0.2,0.2,27.1,30.2,25.1,5.7,26.3,1
2295,0,0,0,0,28.5,33.1,25.4,8.6,33.8,0
2296,6.2,5.4,5.6,5.8,27.3,30.3,24.4,5.9,37.4,1
2297,38.8,24.2,34.2,35.8,25.6,30.1,23.1,6.4,35.3,1
2298,16.4,8.6,11.8,15.6,26.8,32,23.2,6.8,27.4,1
2299,0,0,0,0,28.1,32.3,25.2,9.6,31.3,0
2300,1.2,1.2,1.2,1.2,28,32.8,24.9,6.4,45,1
2301,12.6,8.4,12.4,12.4,26.6,31.3,24.8,5.6,40,1
2302,38.8,28,33,35.4,26.6,32.3,23.9,5.4,31,1
2303,0,0,0,0,27.8,31.2,25.1,5.9,27,0
2304,0.2,0.2,0.2,0.2,28.2,34,25.6,6.7,26.6,1
2305,44.4,24,30.4,42.4,26.2,29.7,24,5.2,35.3,1
2306,0.8,0.6,0.8,0.8,26.9,32.4,24.7,5.7,32.8,1
2307,11.8,7.8,9,9,26.3,30.7,24.4,9.3,32.8,1
2308,8.4,5.4,5.4,8.4,26.8,30.5,24.5,6.8,20.2,1
2309,1.8,1.4,1.4,1.4,28,34.2,25.2,7,34.2,1
2310,1,0.8,0.8,0.8,28,32.9,24.9,7.5,30.2,1
2311,42.2,25,27,29.6,27,31.4,24.3,6.9,29.5,1
2312,27.2,12.2,14.6,22,26,31.1,23.4,7.6,50,1
2313,0,0,0,0,26.9,31.9,25.1,6.8,32,0
2314,0,0,0,0,28.2,32.6,25.3,8.7,33.1,0
