,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
39,0,0,0,0,26.9,29.7,24.9,11.2,28.8
40,6.2,6.2,6.2,6.2,27.2,31.7,23.6,10.4,40.3
41,0.2,0.2,0.2,0.2,28.1,31.8,26.1,14,40.3
42,41.2,15.4,24.4,36.4,27.1,32.6,24.8,9.4,42.5
43,0,0,0,0,28.3,32.2,25.6,11.9,34.9
44,0,0,0,0,28,31.4,26.1,16.2,52.2
45,0,0,0,0,27.6,30.9,25.3,14.8,50.4
46,0,0,0,0,27.3,30.8,24.6,10.4,45.7
47,69,15.2,27.8,41.6,24.7,26.7,23.5,7.2,32.8
48,1.4,1.2,1.2,1.4,26.1,28.4,24.2,10.4,38.2
49,0,0,0,0,27.1,31.5,24.6,12.6,42.5
50,0,0,0,0,27.5,31.3,24.9,13,38.5
51,0,0,0,0,27.4,30.7,25.2,12.6,36.7
52,13.4,8.2,8.4,9.6,25.7,29.1,24,11.2,34.9
53,0.2,0.2,0.2,0.2,27.3,31,24.8,18,58
54,0,0,0,0,27.6,31.1,25.1,15.1,43.2
55,0,0,0,0,27.8,31.9,25.1,13.7,43.2
56,0,0,0,0,27.9,31.4,25.7,15.8,46.8
57,0.2,0.2,0.2,0.2,28.1,31.4,26.1,16.9,47.2
58,0,0,0,0,27.9,31.8,25.7,16.2,44.3
59,0,0,0,0,27.8,31.1,25.5,17.3,48.6
60,0,0,0,0,27.8,32,25.6,16.2,52.9
61,0.6,0.4,0.4,0.4,27.6,30.7,25.8,13.3,37.1
62,0,0,0,0,28.1,32.3,25.8,12.2,39.2
63,0,0,0,0,28.6,33,26.5,14,38.5
64,9.4,7,8.4,9.2,27.8,31.6,26,12.6,37.1
